target,RA,Dec,start,end,MAXI_link,Swift_link
MAXI_J0637-430,99.0987,-42.868,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419082041_rcxayscs3a5jrm88/index.html,#N/A
MAXI_J1348-630,207.053,-63.2746,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419082157_8vpb7cpqauwv3j9b/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1348-630.lc.fits
MAXI_J1631-479,247.809,-47.8065,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419082425_drudmrr09vksh2t5/index.html,#N/A
MAXI_J1820p070,275.091,7.18533,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419082505_824zj5jj51480jqs/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1820p070.lc.fits
MAXI_J1813-095,273.392,-9.53311,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419082706_1r1kpvl6l70yhfnj/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1813-095.lc.fits
MAXI_J1535-571,233.832,-57.2299,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419082941_qh9ke38gotrehdkp/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1535-571.lc.fits
IGR_J17454-2919,266.365,-29.3315,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210419083035_1os44pe9efc12tzl/index.html,#N/A
GRS1716-249,259.904,-25.018,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210404021126_1zz721u7vvfh7bpq/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/Granat1716-249.lc.fits
V4641Sgr,274.840000,-25.407000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210407053412_uorpu7sncwa0a3v0/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/SAXJ1819.3-2525.lc.fits 
XTEJ1752-223,268.063000,-22.343000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210407053736_6e7skmham6raolmj/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/XTEJ1752-223.lc.fits
MAXIJ1659-152,254.757000,-15.258000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210415054750_ew4ivqm3ry5hqa9t/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1659-152.lc.fits
MAXIJ1836-194,278.931000,-19.320000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210404023004_cruah1pxmny4g9oa/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1836-194.lc.fits
MAXIJ1305-704,196.731000,-70.451000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210407060743_nblyl5u48en0j9mh/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1305-704.lc.fits
MAXIJ1828-249,277.243000,-25.030000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210404024037_sweshu5mrvurq7k5/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/MAXIJ1828-249.lc.fits
GX339-4,255.706000,-48.790000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210331041501_n3rd44yvcabu1bpz/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/GX339-4.lc.fits
H1743-322,266.565000,-32.233000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210404024611_cdml2x2u0vrvf7hz/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/IGRJ17464-3213.lc.fits
4U1630-472,248.502000,-47.394000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210407063219_ap4srp3ut8amxdsu/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/4U1630-472.lc.fits
XTEJ1856p053,284.179000,5.309000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210407064519_7h7b6izzfkjqwc3v/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/XTEJ1856p053.lc.fits
GS1354-64,209.541333,-64.734694,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210521070015_zl838c402pjfdax1/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/Ginga1354-645.lc.fits
MAXIJ1910-057,287.595000,-5.799000,2009-08-15T12:34:56,2021-03-31T12:34:56,http://maxi.riken.jp/mxondem/20210404023712_4frp4b6u3kk82895/index.html,https://swift.gsfc.nasa.gov/results/transients/weak/SWIFTJ1910.2-0546.lc.fits
